email,order_channel,points,vists
leo.taylor@gmail.com,Click-and-Collect,32,131
ethan.young@gmail.com,Click-and-Collect,-30,127
grace.rossi@example.com,In-Store,-20,110
ethan.young@gmail.com,In-Store,-1,127
leo.taylor@gmail.com,In-Store,-14,131
grace.rossi@example.com,Click-and-Collect,42,110
ethan.young@gmail.com,Click-and-Collect,1,127
maria.khan@outlook.com,Click-and-Collect,-19,125
maria.khan@outlook.com,In-Store,11,125
leo.taylor@gmail.com,In-Store,29,131
grace.rossi@example.com,In-Store,-20,110
daniel.patel@outlook.com,Click-and-Collect,-7,140
maria.khan@outlook.com,Click-and-Collect,8,125
maria.khan@outlook.com,Click-and-Collect,12,125
daniel.patel@outlook.com,Click-and-Collect,-27,140
daniel.patel@outlook.com,Click-and-Collect,40,140
daniel.patel@outlook.com,In-Store,47,140
grace.rossi@example.com,Click-and-Collect,-8,110
leo.taylor@gmail.com,Click-and-Collect,36,131
daniel.patel@outlook.com,In-Store,18,140
leo.taylor@gmail.com,Click-and-Collect,29,131
ethan.young@gmail.com,In-Store,-9,127
grace.rossi@example.com,In-Store,5,110
leo.taylor@gmail.com,Click-and-Collect,-74,131
daniel.patel@outlook.com,Click-and-Collect,-20,140
daniel.patel@outlook.com,Click-and-Collect,-20,140
leo.taylor@gmail.com,In-Store,0,131
leo.taylor@gmail.com,Click-and-Collect,-40,131
ethan.young@gmail.com,Click-and-Collect,34,127
maria.khan@outlook.com,Click-and-Collect,-9,125
ethan.young@gmail.com,In-Store,-20,127
daniel.patel@outlook.com,In-Store,-4,140
grace.rossi@example.com,Click-and-Collect,-25,110
grace.rossi@example.com,In-Store,-77,110
ethan.young@gmail.com,In-Store,-16,127
maria.khan@outlook.com,Click-and-Collect,36,125
leo.taylor@gmail.com,Click-and-Collect,-23,131
ethan.young@gmail.com,In-Store,-20,127
daniel.patel@outlook.com,Click-and-Collect,-56,140
grace.rossi@example.com,Click-and-Collect,6,110
grace.rossi@example.com,In-Store,0,110
leo.taylor@gmail.com,Click-and-Collect,37,131
leo.taylor@gmail.com,In-Store,30,131
